This is the original list:
Index  Num
    0  735
    1  341
    2  646
    3  229
    4  842
    5  620
    6  741
    7  222
    8  165
    9  182
   10  943
   11  150
   12  250
   13  350
   14  228
   15  344
   16  828
   17  110
   18  987
   19  777
   20  191
   21  545
   22  878
   23  900
   24  351
   25  291
   26  854
   27  404
   28  607
   29  305
   30  199
   31  395
   32  809
   33  504
   34  841
   35  149
   36  492
   37  613
   38  386
   39  929
   40  481
   41  853
   42  729
   43  205
   44  482
   45  774
   46  338
   47  194
   48  743
   49  108
   50  480
   51  107
   52  800
   53  901
   54  120
   55  600
   56  200
   57  990
   58  700
   59  500
   60  180
   61  550
   62  650
   63  155
   64  850
   65  750
   66  675
   67  475
   68  975
   69  275
   70  375
   71  175
   72  575
   73  875
   74  333
   75  483
   76  660
   77  210
   78  185
   79  360
   80  680
   81  685
   82  682
   83  520
   84  525
   85  420
   86  330
   87  930
   88  790
   89  925
   90  670
   91  830
   92  101
   93  400
   94  190
   95  130
   96  470
   97  920
   98  820
   99  720
  100  615
  101  415

This is the sorted list:
Index  Num
    0  101
    1  107
    2  108
    3  110
    4  120
    5  130
    6  149
    7  150
    8  155
    9  165
   10  175
   11  180
   12  182
   13  185
   14  190
   15  191
   16  194
   17  199
   18  200
   19  205
   20  210
   21  222
   22  228
   23  229
   24  250
   25  275
   26  291
   27  305
   28  330
   29  333
   30  338
   31  341
   32  344
   33  350
   34  351
   35  360
   36  375
   37  386
   38  395
   39  400
   40  404
   41  415
   42  420
   43  470
   44  475
   45  480
   46  481
   47  482
   48  483
   49  492
   50  500
   51  504
   52  520
   53  525
   54  545
   55  550
   56  575
   57  600
   58  607
   59  613
   60  615
   61  620
   62  646
   63  650
   64  660
   65  670
   66  675
   67  680
   68  682
   69  685
   70  700
   71  720
   72  729
   73  735
   74  741
   75  743
   76  750
   77  774
   78  777
   79  790
   80  800
   81  809
   82  820
   83  828
   84  830
   85  841
   86  842
   87  850
   88  853
   89  854
   90  875
   91  878
   92  900
   93  901
   94  920
   95  925
   96  929
   97  930
   98  943
   99  975
  100  987
  101  990

This list has 620 key compares.
This list has 1371 key moves.

